epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.214,0.97846,0.89141,1.02064,0.86626,0.76777,0.8551,0.66931,0.85061,0.58829,0.97405,0.000415952,0.000415952,0.000415952
2,198.113,0.91736,0.65588,0.99195,0.87938,0.76938,0.85008,0.68284,0.80086,0.56283,0.96481,0.000816133,0.000816133,0.000816133
3,289.508,0.89042,0.62098,0.98341,0.88006,0.78643,0.8645,0.69455,0.77876,0.56493,0.9552,0.00119981,0.00119981,0.00119981
4,379.762,0.85862,0.58269,0.97274,0.86395,0.8318,0.88317,0.73069,0.74528,0.51666,0.94606,0.00117575,0.00117575,0.00117575
5,470.049,0.8325,0.54632,0.96182,0.88976,0.82457,0.91949,0.76644,0.72452,0.48001,0.93078,0.001151,0.001151,0.001151
6,560.206,0.81065,0.52601,0.95467,0.89715,0.83895,0.91999,0.77323,0.71873,0.46019,0.92887,0.00112625,0.00112625,0.00112625
7,650.598,0.79738,0.50804,0.949,0.91622,0.8693,0.93137,0.78994,0.71418,0.44616,0.9279,0.0011015,0.0011015,0.0011015
8,740.839,0.78518,0.49394,0.94321,0.91202,0.85189,0.94505,0.79758,0.69746,0.4216,0.91842,0.00107675,0.00107675,0.00107675
9,830.763,0.77241,0.48134,0.93811,0.87692,0.90918,0.94751,0.80168,0.69865,0.43493,0.92234,0.001052,0.001052,0.001052
10,920.721,0.76248,0.46832,0.93642,0.92512,0.88804,0.95312,0.81982,0.6851,0.39529,0.91455,0.00102725,0.00102725,0.00102725
11,1010.98,0.75426,0.46131,0.93266,0.8933,0.89651,0.93728,0.80325,0.67002,0.43141,0.91284,0.0010025,0.0010025,0.0010025
12,1100.95,0.74928,0.4521,0.93161,0.90774,0.8939,0.94848,0.81258,0.6781,0.40366,0.91295,0.00097775,0.00097775,0.00097775
13,1190.91,0.74098,0.44541,0.92893,0.92228,0.93188,0.96886,0.83731,0.66819,0.37876,0.91112,0.000953,0.000953,0.000953
14,1280.92,0.73085,0.4369,0.924,0.89956,0.90302,0.94718,0.82,0.66698,0.39965,0.9034,0.00092825,0.00092825,0.00092825
15,1371.27,0.72726,0.42799,0.92278,0.90562,0.93031,0.96417,0.83389,0.65326,0.37529,0.90664,0.0009035,0.0009035,0.0009035
16,1461.27,0.72195,0.42541,0.92305,0.92374,0.91318,0.95866,0.83645,0.64287,0.36209,0.89791,0.00087875,0.00087875,0.00087875
17,1551.27,0.71418,0.41666,0.91692,0.91587,0.9363,0.96655,0.84462,0.64887,0.36045,0.89788,0.000854,0.000854,0.000854
18,1641.62,0.71123,0.41235,0.9168,0.93346,0.90301,0.96213,0.84687,0.64066,0.3605,0.90041,0.00082925,0.00082925,0.00082925
19,1732.03,0.70459,0.40629,0.91401,0.95925,0.90582,0.97123,0.85052,0.63405,0.34758,0.89838,0.0008045,0.0008045,0.0008045
