epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.693,0.96395,0.84615,1.01845,0.7161,0.82037,0.7939,0.60955,0.84214,0.70705,1.00552,0.000415952,0.000415952,0.000415952
2,347.903,0.94769,0.69831,1.02383,0.84417,0.69372,0.78942,0.6092,0.83393,0.63385,1.00129,0.000816133,0.000816133,0.000816133
3,508.467,0.91654,0.65001,1.01157,0.84759,0.76768,0.82807,0.67306,0.79522,0.62056,0.99146,0.00119981,0.00119981,0.00119981
4,667.163,0.87963,0.60539,0.99571,0.85581,0.79465,0.866,0.69842,0.79225,0.56853,0.98325,0.00117575,0.00117575,0.00117575
5,825.857,0.84998,0.56174,0.98376,0.82831,0.85203,0.89714,0.74176,0.73426,0.47502,0.95732,0.001151,0.001151,0.001151
6,984.669,0.82053,0.53739,0.97472,0.89069,0.83575,0.91182,0.75046,0.72396,0.4525,0.95684,0.00112625,0.00112625,0.00112625
7,1143.28,0.80434,0.51487,0.96823,0.89814,0.83961,0.92305,0.77344,0.72343,0.43963,0.94987,0.0011015,0.0011015,0.0011015
8,1302.11,0.79034,0.49894,0.96015,0.89363,0.85921,0.93129,0.79034,0.70839,0.42654,0.94597,0.00107675,0.00107675,0.00107675
9,1459.86,0.77413,0.47927,0.95549,0.91044,0.86426,0.93742,0.79478,0.70804,0.42224,0.9471,0.001052,0.001052,0.001052
10,1618.02,0.76508,0.4685,0.95204,0.91099,0.88818,0.95288,0.80638,0.69755,0.40296,0.94317,0.00102725,0.00102725,0.00102725
11,1776.2,0.75611,0.46038,0.9485,0.87954,0.87092,0.94279,0.79568,0.68364,0.41132,0.94009,0.0010025,0.0010025,0.0010025
12,1934.28,0.74977,0.45186,0.94651,0.9316,0.84855,0.94525,0.81466,0.67687,0.40655,0.93231,0.00097775,0.00097775,0.00097775
13,2092.47,0.74297,0.44234,0.94358,0.92415,0.88868,0.96223,0.83561,0.66036,0.37106,0.92885,0.000953,0.000953,0.000953
